group,test_case_id,run,prompt,success,iterations_used,fatal_errors,error_msg,target_deviation_pct,first_pass_success,total_tokens,power_consumption_mw,model_match_rate
G0_Ours,test_1,42,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",True,2,0,,4.3325195331257005,False,6582,,1.0
G1_No_Expert,test_1,42,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",True,4,0,,,False,7634,,1.0
G2_No_Shield,test_1,42,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",True,4,0,,14.117731430583378,False,7760,,1.0
G3_No_Metric,test_1,42,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",True,2,0,,3.803621159929264,False,2148,,1.0
G4_No_Iter,test_1,42,"I need a low-pass filter to filter out high-frequency noise, with a cutoff frequency around 600Hz. The idea is to use a Sallen-Key topology for better filtering performance. Any common bipolar op-amp will do, such as the ubiquitous LM2904. Add a DC-blocking capacitor at the input and a few decoupling capacitors at the output to ensure stable operation. All grounds can be tied together.",False,1,0,,35.13512034007293,False,2075,,1.0
G0_Ours,test_2,42,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",True,2,0,,6.845624678069533,False,7639,,1.0
G1_No_Expert,test_2,42,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",False,8,8,,,False,12192,,1.0
G2_No_Shield,test_2,42,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",False,8,8,,,False,9620,,1.0
G3_No_Metric,test_2,42,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",True,5,1,,8.702080951656944,False,6224,,1.0
G4_No_Iter,test_2,42,"Help me build a 1000Hz low-pass filter for audio signal processing. I plan to use an op-amp to build a simple first-order filter — the LM358 should be sufficient. Use resistors around 10kΩ and a 0.1μF capacitor, which should cover up to 1kHz. Single-supply 5V power is fine; remember to add coupling capacitors for DC blocking.",False,1,1,,,False,1459,,1.0
G0_Ours,test_3,42,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",True,1,0,,12.865266749999993,True,5811,,1.0
G1_No_Expert,test_3,42,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",False,8,7,,,False,11570,,1.0
G2_No_Shield,test_3,42,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",True,3,0,,5.443930750000003,False,9479,,1.0
G3_No_Metric,test_3,42,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",True,2,0,,5.315064500000002,False,3320,,1.0
G4_No_Iter,test_3,42,"I want to build a common-emitter amplifier circuit with a voltage gain of about 40dB, used to amplify microphone signals. The core uses an NPN transistor — the 2N3904 is very common. Use the classic voltage-divider bias configuration; the base bias resistors and collector load resistor determine the gain. Both input and output need DC-blocking capacitors, and add a bypass capacitor at the emitter to boost gain. Supply 12V, with a unified ground.",True,1,0,,12.865266749999993,True,3051,,1.0
G0_Ours,test_4,42,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",True,1,0,,3.6455806666666626,True,6710,,1.0
G1_No_Expert,test_4,42,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",False,8,1,,,False,19221,,1.0
G2_No_Shield,test_4,42,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",True,6,0,,2.375297333333333,False,21080,,1.0
G3_No_Metric,test_4,42,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",True,3,0,,5.1522369999999995,False,5469,,1.0
G4_No_Iter,test_4,42,"I need a 30dB gain amplifier to amplify weak sensor signals. Use an NPN transistor for common-emitter amplification — the 2N3904 or similar will work. This time use emitter degeneration (series resistor) to set the gain without a bypass capacitor, which will provide better stability. Add coupling capacitors at both input and output. 9V supply.",False,1,0,,22.813043999999998,False,3592,,1.0
